kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
chroma early learning academy,https://chromaela.com/service-areas-marietta-west-ga,41,232,9514,1,3.9,1000,320,9191,2,73.96,909.44,9282,8871,36385,34774,3920,2.88,1,323,-88,FALSE,2025-11-23
chroma early learning,https://chromaela.com/service-areas-lawrenceville-ga,29,9,368,1,10.4,70,19,466,1,60.09,93.42,359,447,3726,4640,727,2.1,0,-98,-10,FALSE,2025-11-23
daycare near me,https://chromaela.com/service-areas-marietta-west-ga,17,9,263,1,6.8,823000,15,234,3,100,61.02,254,219,1722,1485,5579940,9.43,2,29,-6,FALSE,2025-11-23
chroma learning academy,https://chromaela.com/service-areas-marietta-west-ga,34,13,1250,1,4.6,140,26,845,1,65.81,59.93,1237,819,5703,3776,645,2.23,0,405,-13,FALSE,2025-11-23
chroma daycare,https://chromaela.com/service-areas-mcdonough-ga,33,11,706,1,4.2,90,25,590,2,60.22,46.75,695,565,2954,2401,382,2.6,1,116,-14,FALSE,2025-11-23
chroma early learning academy of lilburn,https://chromaela.com/,51,11,1128,1,4,320,15,816,2,68.94,44.44,1117,801,4513,3236,1293,10.1,1,312,-4,FALSE,2025-11-23
chroma early learning academy of lawrenceville,https://chromaela.com/service-areas-lawrenceville-ga,38,6,990,1,7.2,320,9,488,1,73.21,43.32,984,479,7104,3458,2310,9.2,0,502,-3,FALSE,2025-11-23
daycares near me,https://chromaela.com/service-areas-tyrone-ga,20,5,102,11,8.4,201000,9,102,1,91.24,42.05,97,93,816,782,1690410,10.54,-10,0,-4,FALSE,2025-11-23
chroma early learning academy satellite,https://chromaela.com/lilburn,45,3,548,1,10.5,210,3,214,1,72.89,31.44,545,211,5712,2211,2201,15.07,0,334,0,FALSE,2025-11-23
chroma ellenwood,https://chromaela.com/service-areas-mcdonough-ga,31,4,302,1,7.8,20,7,144,1,54.38,31.24,298,137,2327,1070,156,2.82,0,158,-3,FALSE,2025-11-23
daycare duluth ga,https://chromaela.com/service-areas-pleasanthill-ga,10,4,38,1,6.8,390,2,24,1,54.96,27.4,34,22,233,151,2671,3.88,0,14,2,FALSE,2025-11-23
top rated daycare near me,https://chromaela.com/service-areas-marietta-west-ga,12,3,19,1,9,2900,0,9,11,62.35,27.06,16,9,144,81,26158,1.69,10,10,3,FALSE,2025-11-22
daycare mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,2,4,169,11,5.3,1000,1,61,1,67.94,21.2,165,60,875,318,5300,12.13,-10,108,3,FALSE,2025-11-23
river green academy,https://chromaela.com/service-areas-rivergreen-ga,23,7,644,1,2.9,390,16,328,1,66.04,20.37,637,312,1854,908,1135,5.93,0,316,-9,FALSE,2025-11-23
daycares canton ga,https://chromaela.com/service-areas-cherokee-ga,2,2,14,4,9.6,320,1,19,9,53.4,19.18,12,18,115,173,3069,10.45,5,-5,1,FALSE,2025-11-12
chroma early learning academy of marietta,https://chromaela.com/service-areas-marietta-west-ga,35,4,709,2,4.4,320,4,481,1,71.64,17.8,705,477,3137,2123,1424,3.05,-1,228,0,FALSE,2025-11-23
little creations learning center,https://chromaela.com/service-areas-jonesboro-ga,2,2,28,1,6.8,480,0,25,1,57.03,13.7,26,25,178,171,3288,2.01,0,3,2,FALSE,2025-11-23
chroma lilburn,https://chromaela.com/lilburn,24,2,463,1,6.8,40,4,252,1,63.9,13.56,461,248,3126,1681,271,5.56,0,211,-2,FALSE,2025-11-21
preschool near me,https://chromaela.com/service-areas-satellite-ga,13,2,82,1,6.7,301000,1,38,9,94.68,13.34,80,37,534,247,2007670,8.01,8,44,1,FALSE,2025-11-22
daycare in lawrenceville,https://chromaela.com/service-areas-lawrenceville-ga,3,1,9,30,8.9,880,0,1,50,56.89,8.88,8,1,71,9,7814,10.57,20,8,1,FALSE,2025-11-18
early education near me,https://chromaela.com/service-areas-pleasanthill-ga,1,1,1,1,7.8,480,0,0,0,38.88,7.81,0,0,0,0,3749,1,-1,1,1,FALSE,2025-11-14
daycare duluth,https://chromaela.com/service-areas-pleasanthill-ga,2,1,20,1,7.8,320,1,16,1,57.09,7.79,19,15,148,117,2493,2.33,0,4,0,FALSE,2025-11-22
daycare in duluth ga,https://chromaela.com/service-areas-pleasanthill-ga,5,1,22,1,7.8,320,0,2,12,57.39,7.78,21,2,163,16,2490,9.96,11,20,1,FALSE,2025-11-23
part time preschool near me,http://www.chromaela.com/,1,1,2,1,6.9,1900,0,2,5,49.39,6.91,1,2,7,14,13129,1,4,0,1,FALSE,2025-11-17
affordable daycare near me,https://chromaela.com/service-areas-mcdonough-ga,2,1,5,1,6.7,2400,0,2,12,56.39,6.67,4,2,27,13,16008,7.25,11,3,1,FALSE,2025-11-12
preschools near me,https://chromaela.com/service-areas-mcdonough-ga,13,1,44,9,6.7,301000,2,15,6,93.6,6.67,43,13,287,87,2007670,18.55,-3,29,-1,FALSE,2025-11-23
childcare near me,https://chromaela.com/service-areas-pleasanthill-ga,8,1,38,1,6.6,165000,1,26,1,89.93,6.63,37,25,245,166,1093950,10.65,0,12,0,FALSE,2025-11-22
pre k graduation,https://chromaela.com/,8,1,13,3,6.3,2900,0,0,0,63.32,6.29,12,0,75,0,18241,3,-3,13,1,FALSE,2025-11-19
daycare,https://chromaela.com/service-areas-pleasanthill-ga,12,1,48,1,6.2,673000,0,27,3,97.93,6.24,47,27,293,168,4199520,5.03,2,21,1,FALSE,2025-11-23
daycares near me that take infants,https://chromaela.com/service-areas-ellenwood-ga,1,1,1,4,6.1,590,0,0,0,38.65,6.05,0,0,0,0,3570,4,-4,1,1,FALSE,2025-11-08
daycares in lilburn ga,https://chromaela.com/service-areas-lilburn-ga,3,1,8,10,5.8,20,0,3,15,37.02,5.83,7,3,41,17,117,13.5,5,5,1,FALSE,2025-11-14
half day daycare near me,https://chromaela.com/service-areas-cherokee-ga,1,1,1,4,5.4,1300,0,0,0,41.89,5.45,0,0,0,0,7085,4,-4,1,1,FALSE,2025-11-23
preschool mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,2,1,7,13,5.3,110,0,6,5,43.81,5.26,6,6,32,32,579,19.7,-8,1,1,FALSE,2025-11-11
chroma early learning academy duluth ga,https://chromaela.com/careers,32,1,260,1,4.9,20,10,443,1,58.61,4.89,259,433,1267,2117,98,3.28,0,-183,-9,FALSE,2025-11-23
free pre k near me,https://chromaela.com/service-areas-marietta-west-ga,2,1,2,7,4.8,2400,0,0,0,48.75,4.78,1,0,5,0,11472,5,-7,2,1,FALSE,2025-11-19
an apple a day daycare,https://chromaela.com/service-areas-pleasanthill-ga,2,1,27,12,4.5,90,4,44,1,50.82,4.46,26,40,116,178,401,8.08,-11,-17,-3,FALSE,2025-11-23
daycare in ellenwood ga,https://chromaela.com/service-areas-ellenwood-ga,2,1,73,8,4.4,70,0,67,10,55.74,4.42,72,67,318,296,309,8.22,2,6,1,FALSE,2025-11-23
